#SampleID	Microhabitat	Type	CMM	Genotype	Concentration	Nitrogen	GS	Description
HvHEB4	Rhizosphere	Sample	No	HB125	2.31	N0	30	BC1S3
HvHEB9	Rhizosphere	Sample	No	HB113	1.74	N0	30	BC1S3
HvHEB17	Rhizosphere	Sample	No	HB91	2.95	N0	30	BC1S3
HvHEB18	Rhizosphere	Sample	No	HB91	2.39	N0	30	BC1S3
HvHEB22	Rhizosphere	Sample	No	HB107	2.08	N0	50	BC1S3
HvHEB30	Rhizosphere	Sample	No	HB64	2.93	N0	30	BC1S3
HvHEB36	Rhizosphere	Sample	No	HB134	4.61	N0	30	BC1S3
HvHEB40	Rhizosphere	Sample	No	HB120	3.77	N0	30	BC1S3
HvHEB42	Rhizosphere	Sample	No	HB137	4.07	N0	30	BC1S3
HvHEB43	Rhizosphere	Sample	No	HB21	10.13	N0	30	BC1S3
HvHEB48	Rhizosphere	Sample	No	HB109	2.68	N0	30	BC1S3
HvHEB53	Rhizosphere	Sample	No	HB31	3.56	N0	30	BC1S3
HvHEB59	Rhizosphere	Sample	No	HB142	3.54	N0	40	BC1S3
HvHEB60	Rhizosphere	Sample	No	HB55	5.39	N0	30	BC1S3
HvHEB63	Rhizosphere	Sample	No	HB68	3.76	N0	30	BC1S3
HvHEB76	Soil	Sample	No	Bulk	13.33	Bulk	0	Bulk
HvHEB77	Soil	Sample	No	Bulk	5.65	Bulk	0	Bulk
HvHEB78	Rhizosphere	Sample	No	HB104	1.87	N0	30	BC1S3
HvHEB79	Rhizosphere	Sample	No	HB104	2.38	N0	30	BC1S3
HvHEB80	Rhizosphere	Sample	No	HB23	2.83	N0	30	BC1S3
HvHEB81	Rhizosphere	Sample	No	HB23	2.34	N0	30	BC1S3
HvHEB86	Rhizosphere	Sample	No	HB98	3.12	N0	30	BC1S3
HvHEB87	Rhizosphere	Sample	No	HB98	2.32	N0	30	BC1S3
HvHEB89	Rhizosphere	Sample	No	HB94	4.05	N0	30	BC1S3
HvHEB90	Rhizosphere	Sample	No	HB94	8.89	N0	30	BC1S3
HvHEB92	Rhizosphere	Sample	No	HB143	2.42	N1	30	BC1S3
HvHEB93	Rhizosphere	Sample	No	HB143	2.94	N1	30	BC1S3
HvHEB97	Rhizosphere	Sample	No	HB52	1.58	N0	30	BC1S3
HvHEB98	Rhizosphere	Sample	No	HB52	4.26	N0	30	BC1S3
HvHEB100	Rhizosphere	Sample	No	HB57	2.16	N0	30	BC1S3
HvHEB101	Rhizosphere	Sample	No	HB57	4.66	N0	30	BC1S3
HvHEB104	Rhizosphere	Sample	No	HB69	10.85	N0	30	BC1S3
HvHEB106	Rhizosphere	Sample	No	HB69	3.99	N0	30	BC1S3
HvHEB109	Rhizosphere	Sample	No	HB107	10.65	N0	50	BC1S3
HvHEB112	Rhizosphere	Sample	No	HB125	11.57	N0	30	BC1S3
HvHEB115	Rhizosphere	Sample	No	HB124	2.88	N0	30	BC1S3
HvHEB116	Rhizosphere	Sample	No	HB124	9.78	N0	30	BC1S3
HvHEB120	Rhizosphere	Sample	No	HB14	3.57	N0	40	BC1S3
HvHEB121	Rhizosphere	Sample	No	HB14	10.75	N0	40	BC1S3
HvHEB122	Rhizosphere	Sample	No	HB118	5.56	N0	30	BC1S3
HvHEB123	Rhizosphere	Sample	No	HB118	3.96	N0	30	BC1S3
HvHEB127	Rhizosphere	Sample	No	HB44	3.14	N0	30	BC1S3
HvHEB128	Rhizosphere	Sample	No	HB44	1.77	N0	30	BC1S3
HvHEB132	Rhizosphere	Sample	No	HB134	1.79	N0	30	BC1S3
HvHEB135	Rhizosphere	Sample	No	HB117	2.13	N0	40	BC1S3
HvHEB136	Rhizosphere	Sample	No	HB117	1.69	N0	40	BC1S3
HvHEB138	Rhizosphere	Sample	No	HB85	2.05	N0	30	BC1S3
HvHEB140	Rhizosphere	Sample	No	HB85	2.78	N0	30	BC1S3
HvHEB141	Rhizosphere	Sample	No	HB4	2.9	N0	30	BC1S3
HvHEB142	Rhizosphere	Sample	No	HB4	4.88	N0	30	BC1S3
HvHEB144	Rhizosphere	Sample	No	HB20	12.61	N0	30	BC1S3
HvHEB145	Rhizosphere	Sample	No	HB20	2.35	N0	30	BC1S3
HvHEB147	Rhizosphere	Sample	No	HB113	3.88	N0	30	BC1S3
HvHEB151	Rhizosphere	Sample	No	HID144	3.11	N0	30	HID144
