Sample	Genotype	CT_bacterial	Bacterial (fg)	Concentration_bacterial (fg/ul)	Log_bacterial	16S_copies	Log_16S_copies	CT_fungal	Concentration_fungal (fg)	Concentration_fungal (fg/ul)	Log_fungal	ITS_copies	Log_ITS_copies	Bacterial_ratio	Fungal_ratio
Barke	Barke	18.52088737	1995909.777	997954.8885	19.92861508	2794273.688	21.4140419	22.38918304	38120.12978	19060.06489	14.21826541	2919.761784	11.51163495		
Barke	Barke	20.24439621	1627917.994	813958.9969	19.6345966	2279085.191	21.12002342	22.54607201	33582.30028	16791.15014	14.03541343	2572.192633	11.32878298		
Barke	Barke	20.27235413	1621948.611	810974.3056	19.62929668	2270728.056	21.11472351	22.05800629	47699.02968	23849.51484	14.5416723	3653.44517	11.83504184		
Barke	Barke	20.75432014	1519042.533	759521.2666	19.53473084	2126659.546	21.02015766	23.0132637	20069.32757	10034.66378	13.29270466	1537.184055	10.5860742		
Barke	Barke	20.92745399	1482076.181	741038.0906	19.49918818	2074906.654	20.984615	24.5876236	15262.02568	7631.012838	12.89765884	1168.975016	10.19102838		
Barke	Barke	21.0837307	1448709.052	724354.5258	19.46633645	2028192.672	20.95176328	29.04435921	1945.581615	972.7908077	9.925985786	149.0192946	7.219355328		
Barke	Barke	21.08626938	1448167.01	724083.5049	19.46579656	2027433.814	20.95122339	24.19764328	16437.44567	8218.722833	13.00469851	1259.004782	10.29806805		
Barke	Barke	30.34589386	53062.48331	26531.24166	14.69540457	74287.47664	16.1808314	23.52209473	18473.58247	9236.791234	13.17317605	1414.960034	10.46654559		
Barke	Barke	32.07210922	14849.01928	7424.509642	12.85808003	20788.627	14.34350686	23.49017334	18569.79511	9284.897555	13.18067028	1422.329316	10.47403982		
Barke	Barke	NA	NA	NA	NA	NA	NA	17.10717583	190896.0031	95448.00157	16.54242737	14621.4312	13.83579691		
Bulk	Bulk	21.86704254	1281461.68	640730.8401	19.28935891	1794046.352	20.77478573	25.71355629	11868.40876	5934.204382	12.5348389	909.0453404	9.828208443		
Bulk	Bulk	21.90838432	1272634.667	636317.3333	19.2793869	1781688.533	20.76481372	23.50997734	18510.10487	9255.052435	13.17602545	1417.757419	10.46939499		
Bulk	Bulk	22.09288788	1233240.733	616620.3665	19.23402302	1726537.026	20.71944984	24.99050331	14047.72626	7023.863129	12.77804902	1075.967331	10.07141856		
Bulk	Bulk	22.65255737	1113743.942	556871.9709	19.08698615	1559241.519	20.57241298	25.29907036	13117.68989	6558.844947	12.67922605	1004.732404	9.972595597		
Bulk	Bulk	22.80551147	1081086.231	540543.1157	19.04405017	1513520.724	20.529477	25.74407005	11776.43877	5888.219385	12.52361571	902.0010183	9.816985252		
Bulk	Bulk	24.24920273	772839.1784	386419.5892	18.55980871	1081974.85	20.04523553	26.03429985	10901.67178	5450.835892	12.41226177	834.9993782	9.705631313		
Bulk	Bulk	29.89421463	72503.93611	36251.96805	15.1457717	101505.5106	16.63119853	25.44320869	12683.24981	6341.624904	12.63063683	971.4570308	9.924006374		
Bulk	Bulk	30.54272842	44590.20999	22295.105	14.44443937	62426.29399	15.9298662	27.2345047	7284.194918	3642.097459	11.83055381	557.9234403	9.123923355		
Bulk	Bulk	31.5639782	632.9546926	316.4773463	8.305958424	886.1365697	9.791385251	26.66605759	8997.522674	4498.761337	12.13531212	689.1535525	9.42868166		
