Sample	Genotype	Block	NP_1243_Unknown2	NP_1485_Unknown4	NP_1807_12-methyl-tetradecanoic_acid	NP_1865_Unknown5	NP_1897_methyl-pentadecanoic_acid_ME	Hexadecenoic acid	NP_2008_cyclopropaneoctanoic_acid_2-hex	NP_2097_9-12-octadecadienoic_acid_ME	Octadecatrienoic_acid	NP_2186_3-7-11-15-tetramethyl-hexadecanol	NP_2336_9-12-15-Octadecatrienoic_acid-gly	NP_2893_Unknown10	NP_3149_Methyl-cholesterol	NP_3187_Stigmasterol	NP_3269_alpha-sitosterol				
NP_Barke_1	Barke	B1	0.117518581	0.266552456	0.04696522	0.530312692	0.007908332	0.575261388	0.051312119	0.013543041	0.243891596	0.03748969	0.130975263	1.246577298	0.034101688	0.017077481	0.074695217				
NP_Barke_2	Barke	B2	1.33870418	1.488006725	0.069499134	0.691513067	0.011014789	0.589904039	0.039990947	0.025545733	0.224374346	0.023675964	0.206796521	1.025267041	0.061942384	0.036519254	0.123678514				
NP_Barke_3	Barke	B3	0.089207416	0.773085585	0.071443952	0.606322928	0.007880679	0.582107754	0.051112073	0.020516759	0.24497735	0.019796403	0.183189105	1.499891195	0.100577197	0.03486316	0.162353372				
NP_Barke_4	Barke	B4	0.078005099	1.531820655	0.117250572	0.731530678	0.021354226	0.808599115	0.065198818	0.010836795	0.398423454	0.090376373	0.431076381	2.302399836	0.202767167	0.048896432	0.317914728				
NP_17_1	17	B1	0.198896851	2.562238296	0.121982179	0.752310334	0.022791613	1.334760781	0.116148215	0.024117027	0.383198314	0.165947399	0.636038722	1.654724876	0.185017942	0.0700207	0.324403923				
NP_17_2	17	B2	3.05E-05	0.152524844	0.07160301	0.471456327	0.00941181	0.447794278	0.038959797	0.015390224	0.215597607	0.030402699	0.047831903	1.783790115	0.047257934	0.030592553	0.074741778				
NP_17_3	17	B3	1.73E-17	0.070105105	0.040647804	0.597499893	0.00983403	0.407811559	0.01626422	0.017579369	0.187770374	0.012419043	0.019836937	1.09340035	0.080800208	0.038708214	0.124123885				
NP_17_4	17	B4	0.09438848	1.077561097	0.249148859	0.68703412	0.040906523	1.368609581	0.093114299	0.036800025	0.584940229	0.526575238	0.281910112	1.654695707	0.543148025	0.177097473	0.93323209				
NP_52_1	52	B1	0.041146444	1.655952542	0.081276153	0.583050561	0.013178524	1.465736551	0.185560772	0.028214896	0.362328098	0.162423466	0.453791121	0.73937734	0.202388817	0.083730808	0.337502743				
NP_52_2	52	B2	3.44E-05	0.260359254	0.057717486	0.478026507	0.007347415	0.596002145	0.043812699	0.026510192	0.314207649	0.21371439	0.112352044	2.031274046	0.109949878	0.046682848	0.176957448				
NP_52_3	52	B3	2.96E-05	0.578475388	0.18255042	0.585378392	0.030489419	0.919478839	0.126214789	0.040711778	0.348462423	0.01803956	0.146829316	1.878370744	0.250529476	0.10262469	0.392403124				
NP_52_4	52	B4	0.131129971	7.483000883	0.13602059	0.671298343	0.022256481	1.494620931	0.175028851	0.018919482	0.520921315	1.174730067	1.939417236	1.428195492	0.132266875	0.042640167	0.209075961				
NP_NC_1	NC	B1	0.022110465	1.182764399	0.118932251	0.599251875	0.027885459	1.493937658	0.148643855	0.042198304	0.517468295	0.028180119	0.400705984	1.532046429	0.514969069	0.182945935	0.765827819				
NP_NC_2	NC	B2	0.001642783	0.00574441	0.020396948	8.77E-17	0.001471028	0.229769756	0.009357311	0.008520124	0.130836665	0.036424627	0.007964623	1.41E-05	0.001605489	0.011808778	0.005953241				
NP_NC_3	NC	B3	0.001317983	0.013048404	0.016538216	6.29E-17	0.001072969	0.26363404	0.005659424	0.00419191	0.210540385	0.012442333	0.00913776	6.55E-06	0.002045565	0.006458786	0.001330949				
NP_NC_4	NC	B4	0.001840714	0.005768751	0.012692242	1.09E-16	0.001672165	0.122174963	0.001866096	0.003817337	0.100000233	0.060130909	0.007176257	0	0.00756183	0.003686611	0.005554812				
																					
