Sample	Sample	Genotype	Block	L-valine(TMS2)	L-leucine(TMS2)	Glycerol(TMS3)	L-isoleucine(TMS2)	L-proline(TMS2)	Succinic acid	L-serine(TMS3)	L-threonine(TMS3)	Malic_acid(TMS3)	5-oxo-proline(TMS2)	L-aspartic_acid(TMS3)	gamma-aminobutyric_acid(TMS3)	L-glutamic_acid	4-hydroxyphenylacetic acid(TMS2)	L-asparagine(TMS3)	Ribose	phenylpropanolamine(TMS2)	Putrescine(TMS4)	L-glutamine(TMS3)	Azelaic_acid(TMS2)	Citric_acid(TMS4)	Unknown3	Sugar dimer	Gluconic_acid(TMS6)	Gulose(TMS5)	Inositol(TMS6)	2-O-glycerol-galactoside(TMS6)	Glucuronic_acid(TMS5)	Sucrose(TMS8)	Unknown4	Unknown5	Maltose_MEOX(TMS8)	Melibiose(TMS8)	Raffinose(TMS8)	Frutose_total	Glucose_total
NP_Barke_1	NP_Barke_1	Barke	B1	49.73472289	41.88074966	54.36426597	27.13332232	44.14565334	22.10015596	21.93689873	8.404200117	6.672319237	21.53873006	90.61187683	122.0022432	53.12558955	7.829965687	8.229776973	21.02488447	17.43380776	14.82763728	4.125193034	1.551710286	2.407485027	17.73563996	5.621550725	5.906802697	11.31817581	14.86515326	16.18050357	11.62507329	81.86315002	5.280359382	5.864935046	16.67091312	39.15727176	30.07784041	1278.641861	1077.491793
NP_Barke_2	NP_Barke_2	Barke	B2	61.97186272	51.05929613	48.29546308	33.31310458	55.17044021	34.68934368	27.18561876	9.684043772	21.43604809	25.62067396	103.7841825	131.6163573	57.71670045	4.086110566	4.172676768	25.24492913	51.24239731	8.24169086	2.218257087	0.912715195	8.899699511	13.09145028	4.701493902	3.450040205	26.44170363	11.74762966	15.10140327	8.14640246	50.29538818	9.063551748	8.665713116	10.82189207	28.10766914	28.27563876	1318.367541	1279.523884
NP_Barke_3	NP_Barke_3	Barke	B3	21.65505963	11.85897944	12.79468984	9.308454261	45.32136698	6.60699219	6.418046745	4.250649154	0.990867774	7.839813739	9.749135482	30.48286382	9.870011301	0.819784455	0.354879766	10.61143225	16.80723468	6.252132939	0.371627884	0.094175033	0.635752944	5.757889943	1.070639802	0.255971203	4.118687686	4.722608236	1.917974475	2.657907018	13.44328616	1.016920886	1.27332479	0.79112559	4.453295255	4.444161262	149.2866481	178.7754562
NP_Barke_4	NP_Barke_4	Barke	B4	25.61123116	14.48103172	17.39039584	10.40698554	45.94882307	12.49834326	7.790298338	4.103534909	3.220303743	6.409590211	17.01530802	36.41146576	17.35899102	3.932017221	0.57256662	12.66745763	12.9018863	10.19182557	0.369685927	0.139432899	0.384632764	5.111176734	1.192052895	0.443024418	6.279501458	5.027432945	3.340805165	3.93328872	5.172466863	1.541398866	1.408498944	1.048290091	7.242875695	4.534104561	191.670518	218.7638011
NP_Int_17_1	NP_Int_17_1	Int_17	B1	55.54592212	45.71595367	45.02009574	28.18811828	56.53765511	25.3335972	20.9983152	8.6860146	8.035141289	15.54305993	85.63383747	102.0297628	59.73028328	3.714707612	1.34057449	21.86366229	75.28855957	12.08068448	1.343015256	0.838765784	3.663054572	16.63339279	5.967246244	2.627299045	14.58541278	11.50782321	11.78229597	7.773863131	39.95541644	7.166799254	7.905107424	15.09015582	31.62314863	23.53908068	1130.456924	852.3229808
NP_Int_17_2	NP_Int_17_2	Int_17	B2	59.8858742	45.20739238	48.06465871	32.64553158	85.79485307	32.8389286	27.1741206	10.05919619	14.54873452	15.62490961	85.30087897	102.4252948	55.05965871	1.050853903	3.839606176	25.35753763	56.59249079	7.827871619	2.848647724	1.005081054	5.768910724	17.76563626	6.898282782	4.804158922	29.45750502	13.07595354	11.64288338	8.158282417	72.26597448	11.77395701	8.117479232	11.65513381	34.66630407	28.59542422	1360.716715	1344.184615
NP_Int_17_3	NP_Int_17_3	Int_17	B3	20.08379979	11.74868175	17.78126124	8.267479578	40.11182607	10.48018499	5.243288489	2.998006267	1.498718846	4.977612548	6.501398287	30.23516441	11.55356016	1.635484679	0.236843457	10.79684525	8.104886558	6.610227522	0.167616988	0.104820826	0.693360012	4.657316406	0.489080613	0.311398884	2.868718286	4.03941403	1.791031915	2.011038404	31.26649735	1.397940335	1.953688545	0.749175548	4.373934356	11.53927641	106.4710758	101.1869642
NP_Int_17_4	NP_Int_17_4	Int_17	B4	13.19514725	8.30855887	18.45286698	5.775291695	18.67873383	0.538673708	3.655982365	1.80003902	0.092616417	2.83350183	5.130637293	23.84043802	9.844781536	4.994317766	0.168736305	7.696893674	1.9039505	7.504871829	0.279858644	0.117085375	0.131382318	4.591536491	0.809722695	0.178050816	2.614542405	3.938864816	3.935115423	2.281757872	7.42723518	2.148616794	1.784450608	1.283783457	6.471443484	5.481896597	125.7065062	109.7192971
NP_Int_52_1	NP_Int_52_1	Int_52	B1	46.16699764	38.93067945	48.52219169	24.97111397	59.56497849	11.67810989	17.76041013	7.229792091	2.286474829	20.979939	57.58890116	97.35926422	44.58521147	7.983399435	2.129436564	23.12447124	56.51426155	13.64983543	1.927950024	0.461508588	1.693959185	10.59479006	5.116639419	2.455145672	13.84088459	12.05616319	10.60855534	5.781250141	38.90507618	4.422504429	4.540332565	9.302338991	25.07880029	16.59918355	875.7732056	889.1905901
NP_Int_52_2	NP_Int_52_2	Int_52	B2	43.04028401	36.59337386	38.80103119	25.09084704	52.37372698	21.4085629	17.37073706	6.460088928	10.24004615	23.12755184	98.47919152	91.13967155	70.3985159	18.2076936	3.220145357	24.35483032	41.54243555	15.87592063	2.37246448	0.674853062	3.177076493	16.00945025	4.246853598	2.426736916	17.07144017	10.87566147	11.76760632	6.758114619	44.98003251	6.235170527	6.497461337	8.273512184	22.9343994	19.82003759	948.1365699	862.2037757
