ID	Genotype	Weight	TGW	Area	Width	Length	Rep
1	Barke	0.7	41.41	22.9	3.5	8.8	2R
2	Int_17	0.56	29.37	23.3	3.2	10.2	2R
3	Barke	0.74	46.06	23.6	3.4	9	2R
4	Int_17	0.63	33.16	22.3	3	9.6	2R
5	Int_52	0.59	34.71	22	3	9.7	2R
6	Int_52	0.7	34.8	22.3	3	9.7	2R
7	Int_17	0.77	36.86	22.6	2.9	10.1	2R
8	Int_52	0.54	30	20.7	2.9	9.4	2R
9	Int_17	0.54	36.2	20.5	3	8.8	2R
10	Barke	0.76	42.44	22.8	3.3	9.4	2R
11	Int_52	0.45	37.75	21.4	3	9.3	2R
12	Barke	0.77	43	22.6	3.3	8.9	2R
13	Int_52	0.5	29.59	22.1	2.9	9.7	2R
14	Int_17	0.67	35.32	22.5	3	9.8	2R
15	Int_17	0.64	40.19	23.3	3.2	9.8	2R
16	Int_17	0.67	37.33	23.3	3.1	9.9	2R
17	Barke	0.66	38.82	23.1	3.3	9.2	2R
18	Int_19	0.92	43.95	24.3	3.2	9.7	2R
19	Int_19	0.57	35.31	22.6	2.9	9.5	2R
20	Int_19	0.78	48.94	24.6	3.2	9.8	2R
21	Int_19	0.84	46.89	25	3.3	9.7	2R
22	Int_56	0.84	46.67	24.7	3.3	9.8	2R
23	Int_56	0.61	43.93	22.2	3	9.5	2R
24	Int_56	0.71	39.22	23.2	3.1	9.6	2R
25	Int_56	0.76	40.16	24.3	3.1	9.9	2R
26	Int_52	0.67	35.37	22.9	2.8	10	2R
27	Int_19	0.78	43.17	23.7	3.1	9.7	2R
28	Int_56	0.93	48.68	25	3.3	9.7	2R
29	Int_56	0.93	49.05	25.2	3.4	9.7	2R
30	Int_56	0.73	40.67	23.7	3.1	9.7	2R
31	Int_19	0.78	43.22	26	3.2	10.4	2R
32	Int_19	0.88	51.76	25	3.5	9.4	2R
32	Barke	0.84	40.1	21.2	3	8.9	3R
15	Int_19	0.78	33.74	21.6	2.8	9.8	3R
1	Int_19	0.69	42.94	23.4	3.3	9.3	3R
17	Int_56	0.8	44.44	24.3	3.2	10	3R
29	Int_19	0.84	42.15	23.5	3.2	9.5	3R
18	Int_56	0.77	33.52	21.3	2.9	9.7	3R
5	Int_52	0.74	35.05	21.1	2.8	9.7	3R
10	Int_56	0.81	44.72	23.8	3.2	9.5	3R
35	Barke	0.63	44.86	23.6	3.2	9.2	3R
20	Int_56	0.76	44.41	23.5	3.2	9.7	3R
27	Int_17	0.64	37.82	23.7	3.3	10.2	3R
31	Int_52	0.95	33.82	22.2	3	9.8	3R
3	Int_19	0.94	44.9	23.4	3.3	9.3	3R
2	Int_19	0.74	38.74	23.5	3.1	9.9	3R
4	Int_17	0.7	36.89	22.7	3	9.9	3R
24	Int_17	0.44	29.53	21.1	2.8	9.5	3R
11	Barke	0.58	41.14	21.7	3.1	9	3R
28	Int_56	0.85	44.68	23.3	3.3	9.3	3R
30	Int_17	0.62	34.44	21.9	3	9.7	3R
33	Int_56	0.86	45.16	23.1	3.3	9.2	3R
26	Int_19	0.82	45.39	24.3	3.3	9.6	3R
34	Barke	0.97	46	23.7	3.3	9.3	3R
19	Int_19	0.91	41.45	23	3	9.8	3R
21	Barke	1.03	46.68	23.6	3.3	9.1	3R
22	Int_17	0.6	37.44	22.2	3	9.5	3R
6	Int_52	0.8	33.21	22.2	2.8	10.4	3R
25	Barke	0.85	44.84	23	3.2	9.3	3R
8	Int_52	0.69	31.41	20.7	2.8	9.8	3R
12	Barke	0.98	42.43	23.4	3.1	9.5	3R
14	Int_17	0.7	31.68	21	2.8	9.6	3R
13	Int_52	0.65	32.45	21.3	2.8	9.9	3R
16	Int_52	0.72	34.43	21.4	2.9	9.6	3R
1	Int_52	1.03	43.13	23.9	3.3	9.6	1R
2	Barke	0.95	50	24.7	3.6	9.1	1R
3	Int_17	0.71	35.5	22.9	3.1	9.7	1R
4	Barke	0.56	31.33	21.5	3.2	8.8	1R
5	Int_52	0.87	37.91	22.8	3.1	10	1R
6	Int_17	0.92	46.05	24.6	3.3	9.8	1R
7	Int_52	0.84	40	23.4	3.1	10.1	1R
8	Int_52	0.92	41.82	23.9	3.2	9.8	1R
9	Int_52	0.87	45.79	25.7	3.6	9.9	1R
10	Int_19	0.87	54.56	26.7	3.7	9.7	1R
11	Barke	1.25	52.21	25.4	3.7	9.2	1R
12	Int_17	1.15	44.12	25.8	3.3	10.2	1R
13	Int_17	0.9	40.95	24.6	3.3	9.4	1R
14	Int_52	1.09	45.21	24.8	3.2	10.2	1R
