Customer identity	Hutton ID	Genotype	N	C	Block	TP
1346904	1 NC	NC	10.12	3.61	1	3
1346905	2 NC	NC	10.28	2.6	2	3
1346906	3 NC	NC	15.88	2.29	3	3
1346907	4 NC	NC	17.88	1.58	4	3
1346908	5 NC	NC	4.12	1.38	5	2
1346909	6 NC	NC	5.91	1.46	6	2
1346910	7 NC	NC	4.45	1.57	7	2
1346911	8 NC	NC	4.58	1.35	8	2
1346912	1 Barke	Barke	4.23	29.86	1	3
1346913	2 Barke	Barke	4.62	29.32	2	3
1346914	3 Barke	Barke	4.19	23.18	3	3
1346915	4 Barke	Barke	4.84	25.42	4	3
1346916	5 Barke	Barke	4.41	27.94	5	2
1346917	6 Barke	Barke	3.18	26.99	6	2
1346918	7 Barke	Barke	3.95	28.76	7	2
1346919	8 Barke	Barke	4.23	27.61	8	2
1346920	1  17	 17	4.52	24.66	1	3
1346921	2  17	 17	4.69	29.15	2	3
1346922	3  17	 17	4.22	25.09	3	3
1346923	4  17	 17	4.07	24.62	4	3
1346924	5  17	 17	3.88	29.9	5	2
1346925	6  17	 17	4.17	24.68	6	2
1346926	7  17	 17	5.89	26.54	7	2
1346927	1  52	 52	5.01	27.68	1	3
1346928	2  52	 52	4.56	30.53	2	3
1346929	3  52	 52	4.37	23.55	3	3
1346930	4  52	 52	4.6	26.6	4	3
1346931	5  52	 52	3.1	26.68	5	2
1346932	6  52	 52	3.96	24.62	6	2
1346933	7  52	 52	4.97	27.88	7	2
1346934	8  52	 52	4.22	29.81	8	2
