Sample	Genotype	Shoot weight	Root weight	PRL 	RootLength 	SurfArea 	AvgDiam 	RootVol 	Tips	Forks	Crossings	SRL	RootDen 
2.Int_52	Int_52	0.39	0.14	46	596.8731	249.983	1.3331	8.332	1210	4810	154	4263.379286	0.016802688
3.Barke	Barke	0.28	0.1	56.4	442.7542	117.9864	0.8482	2.502	1062	3000	134	4427.542	0.039968026
 5.Int_52	Int_52	0.35	0.12	36.8	468.3665	270.3572	1.8374	12.419	799	2960	71	3903.054167	0.009662614
6.Barke	Barke	0.29	0.15	56.2	532.729	456.7847	2.7293	31.168	2237	6353	142	3551.526667	0.004812628
 8.Int_17	Int_17	0.39	0.14	39.5	526.4052	400.7356	2.4232	24.276	2108	6564	190	3760.037143	0.005767013
 10.Int_17	Int_17	0.5	0.21	40	421.2357	472.308	3.569	42.142	1325	5125	94	2005.884286	0.004983152
 13.Barke	Barke	0.25	0.8	42.4	363.3914	317.6577	2.7825	22.097	1743	5375	173	454.23925	0.03620401
 16.Int_52	Int_52	0.44	0.14	41	395.1937	344.6067	2.7756	23.913	801	2365	48	2822.812143	0.005854556
 17.Int_17	Int_17	0.39	0.12	60.5	309.4047	375.8974	3.8672	36.341	1208	3990	72	2578.3725	0.003302056
 19.Int_17	Int_17	0.24	0.9	36	453.8949	300.6151	2.1082	15.844	1282	3818	97	504.3276667	0.056803837
 20.Barke	Barke	0.44	0.13	37	361.7558	271.7557	2.3912	16.245	858	2584	67	2782.736923	0.008002462
 21.Int_52	Int_52	0.29	0.12	41	520.0178	383.2907	2.3462	22.482	2009	5910	146	4333.481667	0.005337603
